gamma,delta,auc_non_weighted,tpr_non_weighted,fpr_non_weighted,auc_weighted,tpr_weighted,fpr_weighted,attack_type
0.25,2.0,0.8462864203954213,0.1613173376447724,0.0,0.8396201873048909,0.27964543916799917,0.008064516129032258,random_noise_0.01
0.25,2.0,0.6786875650364205,0.08584167665590584,0.0,0.6258454734651404,0.10661841626412955,0.008064516129032258,random_noise_0.05
0.25,2.0,0.6539412070759626,0.07708256964561055,0.0,0.6015868886576483,0.050495587852804634,0.008064516129032258,random_noise_0.1
0.25,2.0,0.6031802809573361,0.059927012888221665,0.0,0.5292013527575442,0.07258064516129033,0.010614101417736685,random_noise_0.25
